clone_id,occurrence,file,from_line,to_line
22360719878,1,src/database/mod.rs,439,445
22360719878,2,src/database/mod.rs,409,414
22360719909,1,src/database/mod.rs,325,331
22360719909,2,src/database/mod.rs,240,245
22360719887,1,src/database/mod.rs,298,304
22360719887,2,src/database/mod.rs,146,152
22360719908,1,src/database/mod.rs,400,405
22360719908,2,src/database/mod.rs,240,245
22360719886,1,src/database/mod.rs,192,202
22360719886,2,src/database/mod.rs,134,145
22360719903,1,src/database/mod.rs,332,340
22360719903,2,src/database/mod.rs,245,253
22360719902,1,src/database/mod.rs,189,194
22360719902,2,src/database/mod.rs,177,181
22360719885,1,src/database/mod.rs,427,437
22360719885,2,src/database/mod.rs,278,289
22360719898,1,src/database/mod.rs,424,430
22360719898,2,src/database/mod.rs,400,406
22360719910,1,src/handlers/posts.rs,311,322
22360719910,2,src/handlers/posts.rs,144,156
22360719900,1,src/handlers/posts.rs,393,416
22360719900,2,src/handlers/posts.rs,132,156
22360719895,1,src/handlers/posts.rs,273,282
22360719895,2,src/handlers/users.rs,166,174
22360719875,1,src/handlers/posts.rs,356,361
22360719875,2,src/handlers/posts.rs,220,225
22360719915,1,src/handlers/posts.rs,184,215
22360719915,2,src/handlers/users.rs,253,266
22360719901,1,src/handlers/posts.rs,366,375
22360719901,2,src/handlers/posts.rs,232,241
22360719899,1,src/handlers/posts.rs,340,345
22360719899,2,src/handlers/posts.rs,176,181
22360719894,1,src/handlers/posts.rs,233,241
22360719894,2,src/handlers/users.rs,299,311
22360719877,1,src/handlers/posts.rs,387,392
22360719877,2,src/handlers/posts.rs,125,131
22360719916,1,src/handlers/posts.rs,97,106
22360719916,2,src/handlers/users.rs,166,174
22360719897,1,src/handlers/auth.rs,6,14
22360719897,2,src/handlers/posts.rs,6,13
22360719858,1,src/handlers/users.rs,266,278
22360719858,2,src/handlers/users.rs,51,63
22360719907,1,src/handlers/users.rs,209,220
22360719907,2,src/handlers/users.rs,120,131
22360719919,1,src/handlers/users.rs,299,306
22360719919,2,src/handlers/users.rs,85,92
22360719873,1,src/handlers/users.rs,271,282
22360719873,2,src/handlers/users.rs,120,131
22360719854,1,src/bin/gen_biscuit_keys.rs,494,528
22360719854,2,src/bin/gen_biscuit_keys.rs,411,444
22360719857,1,src/bin/gen_biscuit_keys.rs,451,469
22360719857,2,src/bin/gen_biscuit_keys.rs,410,428
22360719879,1,src/bin/gen_biscuit_keys.rs,469,485
22360719879,2,src/bin/gen_biscuit_keys.rs,429,444
22360719883,1,src/bin/gen_biscuit_keys.rs,223,240
22360719883,2,src/bin/gen_biscuit_keys.rs,204,221
22360719880,1,simple-cms.rs,359,364
22360719880,2,simple-cms.rs,203,318
22360719914,1,simple-cms.rs,377,387
22360719914,2,simple-cms.rs,239,249
22360719923,1,simple-cms.rs,371,377
22360719923,2,simple-cms.rs,233,239
22360719925,1,simple-cms.rs,140,146
22360719925,2,simple-cms.rs,120,126
22360719861,1,src/repositories/post.rs,101,111
22360719861,2,src/repositories/post.rs,74,84
22360719874,1,src/repositories/post.rs,269,274
22360719874,2,src/repositories/post.rs,242,247
22360719922,1,src/repositories/post.rs,163,173
22360719922,2,src/repositories/post.rs,72,82
22360719893,1,src/models/post.rs,143,176
22360719893,2,src/models/post.rs,100,133
22360719905,1,src/models/post.rs,3,10
22360719905,2,src/models/user.rs,1,8
22360719906,1,src/bin/dev_tools.rs,157,166
22360719906,2,src/bin/env-check.rs,25,34
22360719918,1,src/bin/dev_tools.rs,222,228
22360719918,2,src/bin/run_docs.rs,10,14
22360719866,1,src/bin/db_check.rs,61,91
22360719866,2,src/bin/dev_tools.rs,84,113
22360719921,1,src/bin/dev_tools.rs,228,236
22360719921,2,src/bin/run_docs.rs,14,22
22360719884,1,src/bin/dev_tools.rs,140,157
22360719884,2,src/bin/env-check.rs,7,24
22360719881,1,src/cache/mod.rs,204,211
22360719881,2,src/cache/mod.rs,124,132
22360719891,1,src/cache/mod.rs,170,181
22360719891,2,src/cache/mod.rs,158,169
22360719889,1,tests/admin_permission_tests.rs,39,45
22360719889,2,tests/admin_permission_tests.rs,10,16
22360719892,1,tests/admin_permission_tests.rs,36,41
22360719892,2,tests/admin_permission_tests.rs,21,26
22360719882,1,src/bin/admin.rs,413,422
22360719882,2,src/bin/admin.rs,348,357
22360719917,1,src/bin/admin.rs,382,391
22360719917,2,src/bin/admin.rs,348,357
22360719855,1,tests/gen_biscuit_keys_compress.rs,36,45
22360719855,2,tests/gen_biscuit_keys_compress_fast.rs,39,45
22360719859,1,tests/gen_biscuit_keys_compress.rs,15,24
22360719859,2,tests/gen_biscuit_keys_smoke.rs,6,27
22360719869,1,tests/gen_biscuit_keys_compress.rs,8,14
22360719869,2,tests/gen_biscuit_keys_retention.rs,11,17
22360719913,1,tests/gen_biscuit_keys_compress.rs,25,33
22360719913,2,tests/gen_biscuit_keys_smoke.rs,6,37
22360719867,1,tests/gen_biscuit_keys_compress_fast.rs,16,22
22360719867,2,tests/gen_biscuit_keys_retention.rs,11,17
22360719912,1,src/bin/run_docs.rs,16,23
22360719912,2,src/bin/simple-server.rs,16,22
22360719924,1,tests/api_ok_tests.rs,25,30
22360719924,2,tests/api_ok_tests.rs,11,16
22360719896,1,src/utils/file.rs,231,237
22360719896,2,src/utils/file.rs,210,216
22360719864,1,src/utils/auth_utils.rs,84,92
22360719864,2,src/utils/auth_utils.rs,40,48
22360719888,1,src/models/api_key.rs,1,7
22360719888,2,src/models/user.rs,1,8
22360719868,1,src/middleware/request_id.rs,34,53
22360719868,2,src/middleware/security.rs,37,56
22360719870,1,src/middleware/rate_limiting.rs,39,59
22360719870,2,src/middleware/security.rs,37,57
22360719872,1,src/database/pool.rs,32,38
22360719872,2,src/database/pool.rs,18,24
22360719911,1,src/auth/mod.rs,279,285
22360719911,2,src/auth/mod.rs,272,278
22360719904,1,src/bin/migrate.rs,213,223
22360719904,2,src/bin/setup.rs,57,67